SN,District,Municipality,Ward Number,Town/Village Name,Tole,Latitude,Longitude,Source Name,Source Type,Ownership,Surrounding Environment (Landuse),Plant Species around Water Source,Source Condition,Perennial / Seasonal,Dried since how many years?,Reason of drying,"After this source dried up , was there any activity for revival done in this source?",List the activities done for source revival,What was done after source was dried up?,Source Condition,Nature of discharge,Water emergence point,"Volume of bucket /bottle (1, 2, 5, 10 or 20 litre)",Time to fill (seconds),Approx. distance from the nearest dependent household (metre),One-way water fetching time (minutes),How much time did it take to fill the Jar of 20 liter before 10 yr? (minutes),Current time to fill 20 liter jar (minutes),Trend of spring discharge,Pond area (square metre),Pond depth (metre),Pond area 10 years earlier (square metre),Pond depth10 years earlier (metre),Perception on source water quality,Perception on source water quality change,Is this source in use?,Purpose of use,No. of households dependent on this source,Ethnicity of users,No. of households dependent on this source only,Ethnicity of users dependent on this source only,Any impact due to 2015 earthquake?,Is this source tapped?,Supplied to same Municipality or different?,Supplied to same ward or different wards?,Is water source significant for cultural/religious purpose?,List the events associated with sources,Is this source accessible to everyone in community? (in term of use access),If not who are restricted?,Are there water user groups for management?,User group type,Who is the chairperson?,Women in leadership position,Any spring revival / pond protection measures taken?,What measures have been taken?,Remarks (source specific comment)
1689,Kavrepalanchowk,Roshi RM,9,Mangaltar,Thakle,27.46649167,85.72947167,Pidalu bari,spring,private,grassland,"Chiuri,aanaukath, kalikath",dried,seasonal,2050,drought,no,,new_source_identification,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1690,Kavrepalanchowk,Roshi RM,9,Mangaltar,Thakle,27.46648333,85.73103167,Jugepani sir,spring,private,grassland,"Baj,timal,jamuna",active,perennial,,,,,,open_kuwa,seepage,interface between rock and sediment,1,40,200,20,6,13,decreasing,,,,,good,no_change,yes,"drinking,livestock",3,Janajati,,,decreased,no,,,no,,yes,,no,,,,no,,
1691,Kavrepalanchowk,Roshi RM,9,Mangaltar,Thakle,27.466445,85.73124,Jugepani 2,spring,private,grassland,"utis,bass,pithyuli",dried,seasonal,2050,drought,no,,new_source_identification,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1692,Kavrepalanchowk,Roshi RM,9,mangaltar,Thakle,27.46640833,85.73137333,Jugepani 3,spring,community,sparse_forest,"Banmara,phanel,kaiyo",dried,seasonal,2056,drought,no,,new_source_identification,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1693,Kavrepalanchowk,Roshi RM,9,Mangaltar,Thakle,27.46759667,85.72695,Chamero ghupha,spring,community,sparse_forest,"Glamdaing,phanel,panigass",dried,perennial,2072,earthquake,no,,new_source_identification,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1694,Kavrepalanchowk,Roshi RM,9,Mangaltar,Thakle,27.46874833,85.733845,Thulopadero,spring,community,sparse_forest,"Phalat,lakhuri,baj",dried,perennial,2072,earthquake,no,,new_source_identification,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1695,Kavrepalanchowk,Roshi RM,9,Mangaltar,Thakle,27.46499333,85.73589833,Palwatti,spring,private,grassland,"Pithayuli,ketuke,khirra",dried,seasonal,2055,drought,no,,new_source_identification,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1696,Kavrepalanchowk,Roshi RM,9,Mangaltar ,Thakle,27.46247167,85.73322833,mangaltar ko mul,spring,private,grassland,"Timal,kutmiro,jamuna",active,perennial,,,,,,open_kuwa,flowing,soil/sediment,1,28,500,1,3,9,decreasing,,,,,good,no_change,no,,,,,,decreased,no,,,no,,yes,,no,,,,no,,
1697,Kavrepalanchowk,Roshi RM,9,mangaltar,Thakle,27.46285333,85.73326167,kamiwatti2,spring,private,sparse_forest,"uttis,timal,sahas",active,perennial,,,,,,open_kuwa,flowing,interface between rock and sediment,1,6,500,1,1,2,decreasing,,,,,good,no_change,no,,,,,,decreased,no,,,no,,yes,,no,,,,no,,
1698,Kavrepalanchowk,Roshi RM,9,Mangaltar,Thakle,27.46316,85.734055,Charkhule,spring,private,grassland,"Banmara,epial,utis",active,seasonal,,,,,,open_kuwa,seepage,interface between rock and sediment,1,30,500,1,5,10,decreasing,,,,,good,no_change,no,,,,,,decreased,no,,,no,,yes,,no,,,,no,,
1699,Kavrepalanchowk,Roshi RM,9,Mangaltar,Thakle,27.45642,85.72965,Khola ghari,spring,community,dense_forest,"Khirra,jamuna ,timmur",active,perennial,,,,,,cemented_tank,flowing,interface between rock and sediment,1,1,4000,2,1,1,same,,,,,good,improved,yes,"drinking,household,livestock,agriculture",22,"Mixed,Dalit",22,"Mixed,Dalit",no_change,yes,same,same,no,,yes,,no,,,,no,,
1700,Kavrepalanchowk,Roshi RM,9,mangaltar,Thakle,27.45707833,85.73129333,Kholighari odar,spring,community,dense_forest,"Panigass,pettepe",active,perennial,,,,,,open_kuwa,flowing,interface between rock and sediment,1,7,4000,2,1,2,same,,,,,good,no_change,no,,,,,,no_change,no,,,no,,yes,,no,,,,no,,
1701,Kavrepalanchowk,Roshi RM,9,Mangaltar,Thakle,27.45860333,85.7341,Powr house najik,spring,community,grassland,"Chutra,painati",active,perennial,,,,,,open_kuwa,flowing,interface between rock and sediment,1,3,2000,1,1,1,same,,,,,good,no_change,no,,,,,,no_change,no,,,no,,yes,,no,,,,no,,
1702,Kavrepalanchowk,Roshi RM,9,Mangaltar,Thakle,27.45874,85.73463833,Phanel ko phet,spring,private,grassland,"Phanel,khanuo,timal",dried,seasonal,2065,drought,no,,new_source_identification,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1703,Kavrepalanchowk,Roshi RM,9,Mangaltar,Thakle,27.45913167,85.73612333,Jyamire ghatta,spring,private,grassland,"Utis,banmara,timal",active,perennial,,,,,,cemented_tank,flowing,interface between rock and sediment,1,3,2000,11,1,1,same,,,,,excellent,improved,yes,"drinking,household,livestock,agriculture",40,Janajati,40,Janajati,no_change,yes,same,different,no,,yes,,yes,informal,male,secretary,yes,source_protection,
1704,Kavrepalanchowk,Roshi RM,9,Mangaltar,Thakle,27.45958667,85.73599167,Simal boot najik,spring,private,grassland,"Simal,chiuri,chilaune",dried,seasonal,2060,drought,no,,new_source_identification,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1705,Kavrepalanchowk,Roshi RM,9,Mangaltar,Thakle,27.459395,85.73603333,Kera ghari,spring,private,grassland,"Kera,tuni",dried,perennial,2063,drought,no,,new_source_identification,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1706,Kavrepalanchowk,Roshi RM,9,Mangaltar,Thakle,27.46000333,85.738895,Daar khola,spring,community,dense_forest,"Panigass, tipro,tuni",active,perennial,,,,,,cemented_tank,flowing,interface between rock and sediment,1,1,5000,3,1,1,same,,,,,good,improved,yes,"drinking,household",50,Mixed,50,Mixed,no_change,yes,same,same,no,,yes,,yes,formal,male,secretary,yes,source_protection,
1707,Kavrepalanchowk,Roshi RM,9,Mangaltar,Thakle,27.46152167,85.73791667,Charkhule puchhar,spring,private,sparse_forest,"Mirimiri,chilimgass",active,seasonal,,,,,,open_kuwa,flowing,interface between rock and sediment,1,7,4000,2,1,2,decreasing,,,,,good,no_change,no,,,,,,decreased,no,,,no,,yes,,no,,,,no,,
1708,Kavrepalanchowk,Roshi RM,12,Rosi,Tema gau palika,27.43318833,85.75794,Kali khola,spring,public,sparse_forest,Utis kera kala,active,perennial,,,,,,cemented_tank,seepage,soil/sediment,1,5,5000,120,2,2,same,,,,,excellent,improved,yes,"drinking,household,agriculture,livestock",55,Mixed,55,Mixed,no_change,yes,different,different,no,,yes,,no,,,,no,,
1709,Kavrepalanchowk,Roshi RM,9,चुन्ने गैरा,चुन्ने गैरा,27.46062,85.690785,चुन्ने गैरा मुल,spring,public,sparse_forest,फ्यात्लो उनिउ,active,perennial,,,,,,open_kuwa,flowing,rock,1,60,600,85,20,20,same,,,,,poor,no_change,no,,,,,,no_change,no,,,no,,yes,,no,,,,no,,
1710,Kavrepalanchowk,Roshi RM,9,ठारखोला,ठारखोला,27.46059,85.69127667,तिरतिरे गैरा मुल,spring,public,sparse_forest,"उनिउ,बनमरा",dried,seasonal,2072,earthquake,no,,new_source_identification,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1711,Kavrepalanchowk,Roshi RM,9,निङाले गैरा,निङाले गैरा,27.46026167,85.69094333,निङाले घारि मुल,spring,public,dense_forest,"उनिउ,कुरकुरे",active,perennial,,,,,,open_kuwa,flowing,rock,1,5,800,95,2,2,same,,,,,good,no_change,no,,,,,,no_change,no,,,no,,yes,,no,,,,no,,
1712,Kavrepalanchowk,Roshi RM,9,झाक्रि थान,झाक्रि थान,27.45955167,85.68997167,झाक्रि थान गैरा मुल,spring,public,dense_forest,"उनिउ,फ्यात्लो",active,perennial,,,,,,open_kuwa,flowing,rock,1,10,800,85,4,4,same,,,,,good,no_change,no,,,,,,no_change,no,,,no,,yes,,no,,,,no,,
1713,Kavrepalanchowk,Roshi RM,9,सिमसिमे घारि,सिमसिमे घारि,27.459475,85.68993167,सिम मुल,spring,public,sparse_forest,"उनिउ,गगल्याते",active,perennial,,,,,,open_kuwa,flowing,interface between rock and sediment,1,60,600,65,10,20,decreasing,,,,,good,no_change,no,,,,,,increased,no,,,no,,yes,,no,,,,no,,
1714,Kavrepalanchowk,Roshi RM,9,सिमसिमे,सिमसिमे,27.459345,85.68970667,असारे मुल,spring,public,sparse_forest,"बनमरा,जटामसि",active,perennial,,,,,,open_kuwa,flowing,interface between rock and sediment,1,30,600,65,10,10,same,,,,,good,no_change,no,,,,,,no_change,no,,,no,,yes,,no,,,,no,,
1715,Kavrepalanchowk,Roshi RM,9,ठारखोला,ठारखोला,27.45926,85.68966,निउरो घारि मुल,spring,public,dense_forest,"उनिउ,बनमरा,कुरकुरे",active,perennial,,,,,,cemented_tank,flowing,interface between rock and sediment,1,5,600,85,2,2,same,,,,,good,improved,yes,"drinking,household,livestock",150,Mixed,150,Mixed,no_change,yes,same,same,no,,yes,,yes,informal,male,treasurer,yes,source_protection,
1716,Kavrepalanchowk,Roshi RM,9,मुहान डाडा,मुहान डाडा,27.459155,85.68963333,डाडा मुहान,spring,public,sparse_forest,"बन्सो,बनमरा,उनिउ",active,perennial,,,,,,cemented_tank,flowing,interface between rock and sediment,1,2,800,85,1,1,same,,,,,excellent,improved,yes,"drinking,household,agriculture,livestock",350,Mixed,350,Mixed,no_change,yes,same,same,no,,yes,,yes,informal,male,treasurer,yes,source_protection,
1717,Kavrepalanchowk,Roshi RM,9,भैसिगोठ,भैसपगोठ,27.45910667,85.689755,लोठेघारि मुल,spring,public,sparse_forest,"उनिउ,लोठे",active,perennial,,,,,,open_kuwa,flowing,interface between rock and sediment,1,30,600,65,10,10,same,,,,,good,no_change,no,,,,,,,,,,no,,yes,,no,,,,no,,
1718,Kavrepalanchowk,Roshi RM,9,गुरास घारि,गुरास घारि,27.45875167,85.68967833,ओडारे मुल,spring,public,dense_forest,"गगल्याते,उनिउ",active,perennial,,,,,,cemented_tank,flowing,interface between rock and sediment,1,5,600,85,2,2,same,,,,,excellent,improved,yes,"drinking,household,livestock,agriculture",40,Mixed,40,Mixed,no_change,yes,same,same,no,,yes,,no,,,,yes,source_protection,
1719,Kavrepalanchowk,Roshi RM,9,कटुन डाडा,कटुन डाडा,27.45848667,85.68988667,अल्लो घारि मुल,spring,public,sparse_forest,"कुरकुरे,लोठे",active,perennial,,,,,,cemented_tank,flowing,interface between rock and sediment,1,10,600,65,3,3,same,,,,,good,improved,yes,"household,drinking,livestock",45,Mixed,45,Mixed,no_change,yes,same,same,no,,yes,,no,,,,yes,source_protection,
1720,Kavrepalanchowk,Roshi RM,9,क्रिष्णखोरिया,क्रिष्णखोरिया,27.45822167,85.69017167,सिस्नो घारि मुल,spring,public,sparse_forest,"उनिउ,बनमरा",active,perennial,,,,,,open_kuwa,flowing,interface between rock and sediment,1,30,800,85,5,10,decreasing,,,,,good,no_change,yes,"drinking,household,livestock",10,Mixed,10,Mixed,increased,yes,same,same,no,,yes,,no,,,,no,,
1721,Kavrepalanchowk,Roshi RM,9,उतिस घारि,उतिस घारि,27.45819333,85.69023333,उतिस फेद मुल,spring,public,sparse_forest,"बनमरा,उनिउ",active,perennial,,,,,,open_kuwa,flowing,interface between rock and sediment,1,60,800,65,10,20,decreasing,,,,,poor,no_change,no,,,,,,,,,,no,,yes,,no,,,,no,,
1722,Kavrepalanchowk,Roshi RM,9,ठारखोला,ठारखोला,27.458125,85.69023333,ठुलढुङ्गे मुल,spring,public,sparse_forest,"बनमरा,उनिउ",active,perennial,,,,,,open_kuwa,flowing,soil/sediment,1,30,600,65,5,10,decreasing,,,,,good,no_change,yes,"drinking,household,livestock",12,Mixed,12,Mixed,increased,yes,same,same,no,,yes,,no,,,,no,,
1723,Kavrepalanchowk,Roshi RM,9,उतिस घारि,उतिस घारि,27.45808,85.69033667,छाप्रे मुल,spring,public,sparse_forest,"लोठे,उनिउ",active,perennial,,,,,,open_kuwa,flowing,interface between rock and sediment,1,60,600,65,7,20,decreasing,,,,,good,no_change,yes,"drinking,household",2,BCTS,2,BCTS,increased,yes,different,different,no,,yes,,no,,,,no,,
1724,Kavrepalanchowk,Roshi RM,9,अङ्गेरि घारि,अङ्गेरि घारि,27.45799833,85.690405,अङ्गेरि घारि मुल,spring,public,sparse_forest,"उनिउ,खुरसाने",active,perennial,,,,,,cemented_tank,flowing,soil/sediment,1,5,800,85,2,2,same,,,,,good,improved,yes,"drinking,household,livestock,agriculture",65,Mixed,65,Mixed,no_change,yes,same,same,no,,yes,,no,,,,yes,source_protection,
1725,Kavrepalanchowk,Roshi RM,9,कागे घारि,कागेघारि,27.45847167,85.68938,पानघारि मुल,spring,public,dense_forest,"गगल्याते,उनिउ",active,perennial,,,,,,open_kuwa,flowing,interface between rock and sediment,1,30,600,52,10,10,same,,,,,good,improved,yes,"drinking,household",42,Mixed,42,Mixed,no_change,yes,same,same,no,,yes,,yes,formal,male,treasurer,yes,source_protection,
1726,Kavrepalanchowk,Roshi RM,9,पानघारि,पानघारि,27.45822667,85.68914833,कालि कुवा,spring,public,sparse_forest,"लोठे,उनिउ",active,perennial,,,,,,open_kuwa,flowing,rock,1,5,600,65,2,2,same,,,,,good,improved,yes,"drinking,household,livestock,agriculture",42,Mixed,42,Mixed,no_change,yes,same,same,no,,yes,,yes,formal,male,treasurer,yes,source_protection,
1727,Kavrepalanchowk,Roshi RM,9,खोप गैरा,खोप गैरा,27.45829667,85.68920333,खोप गैरा मुल,spring,public,sparse_forest,"खुरसाने,फ्यात्ले",active,perennial,,,,,,open_kuwa,flowing,rock,1,10,800,65,4,4,same,,,,,good,no_change,no,,,,,,no_change,no,,,no,,yes,,no,,,,no,,
1728,Kavrepalanchowk,Roshi RM,9,खोप गैरा,खोप गैरा,27.45824833,85.689185,जोर उतिस मुल,spring,public,sparse_forest,"उनिउ,बनमरा",active,perennial,,,,,,open_kuwa,seepage,soil/sediment,1,60,600,85,20,20,same,,,,,good,no_change,no,,,,,,no_change,no,,,no,,yes,,no,,,,no,,
1729,Kavrepalanchowk,Roshi RM,9,घारि पाखा,घारि पाखा,27.45822667,85.68911333,तिन धारे,spring,public,sparse_forest,"उनिउ,लोठे",active,perennial,,,,,,tap,flowing,rock,1,10,600,30,4,4,same,,,,,good,improved,yes,"drinking,household",4,Mixed,4,Mixed,no_change,no,,,no,,yes,,no,,,,yes,source_protection,
1730,Kavrepalanchowk,Roshi RM,9,काफल डाडा,काफल डाडा,27.4583,85.689175,काफल फेद मुल,spring,public,sparse_forest,"उनिउ,बनमरा",active,perennial,,,,,,open_kuwa,flowing,interface between rock and sediment,1,30,400,65,10,10,same,,,,,good,improved,yes,"drinking,household,livestock",8,Mixed,8,Mixed,no_change,yes,different,different,no,,yes,,no,,,,yes,source_protection,
1731,Kavrepalanchowk,Roshi RM,9,चुथ्रो गैरा,चुथ्रो गैरा,27.45675167,85.68756833,चुथ्रो गैरा मुल,spring,public,sparse_forest,"उनिउ,कुरकुरे",dried,seasonal,2078,drought,yes,source_protection,"new_source_identification,well",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1732,Kavrepalanchowk,Roshi RM,9,बाजो खोरिया,बाजो खोरिया,27.45832667,85.69409833,पानि घट्ट मुल,spring,public,sparse_forest,"बनमरा,घास",dried,perennial,2072,earthquake,no,,new_source_identification,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1733,Kavrepalanchowk,Roshi RM,8,kharpachowk ,Lemba ,27.49097167,85.69193,lemba ko mul,spring,public,grassland,Utis,active,perennial,,,,,,open_kuwa,flowing,interface between rock and sediment,2,60,100,5,5,10,decreasing,,,,,good,no_change,yes,agriculture,5,"Janajati,Mixed",2,Mixed,decreased,yes,same,same,no,,yes,,no,,,,no,,
1734,Kavrepalanchowk,Roshi RM,8,KHARPACHOWK,HARREY,27.49224667,85.691905,LEMBA  KHOLA,spring,public,sparse_forest,APP  BASS,active,perennial,,,,,,open_kuwa,flowing,interface between rock and sediment,5,60,500,10,3,4,decreasing,,,,,good,no_change,yes,"drinking,household,agriculture",1,Janajati,1,Janajati,decreased,no,,,no,,yes,,no,,,,no,,
1735,Kavrepalanchowk,Roshi RM,8,KHARPACHOWK ,KIRDAS ,27.50366167,85.71051833,KIRDAS KUWA ,spring,public,sparse_forest,SALLA BAS ,active,perennial,,,,,,cemented_tank,seepage,interface between rock and sediment,1,120,300,5,5,40,decreasing,,,,,good,no_change,yes,"drinking,agriculture",4,Janajati,1,Janajati,decreased,yes,same,same,no,,yes,,no,,,,no,,
1736,Kavrepalanchowk,Roshi RM,8,KHARPACHOWK,KIRDAS ,27.50361,85.71064167,kirdas ko sukeko mul,spring,public,grassland,SALLA,dried,perennial,2065,drought,no,,new_source_identification,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1737,Kavrepalanchowk,Roshi RM,7,Roshi,Parsiltol,27.5385956,85.67461976,Sim pokhari padhero,spring,private,sparse_forest,"Aameri ,utish, banmara",active,perennial,,,,,,open_kuwa,seepage,interface between rock and sediment,1,5,300,5,1,2,decreasing,,,,,good,degraded,yes,drinking,15,"BCTS,Janajati",15,"BCTS,Janajati",decreased,no,,,no,,yes,,no,,,,no,,Yo paani chaii digo raheko dekhinxa 
1738,Kavrepalanchowk,Roshi RM,7,Roshi,Parsiltol,27.53859945,85.67487123,Sim pokhari,pond,private,agriculture,"Banmara, sisnu,utish",dried,perennial,2072,earthquake,no,,new_source_identification,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1739,Kavrepalanchowk,Roshi RM,7,Roshi,Parsiltol,27.53120441,85.67270228,Kuver padhero,spring,private,sparse_forest,"Utish,salla,aamala",dried,perennial,2055,drought,no,,"new_source_identification,water_lifting",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1740,Kavrepalanchowk,Roshi RM,7,Roshi,Parsiltol,27.52949336,85.67216962,Dhara paani mul,spring,public,sparse_forest,"Salla, banmara, pithauli",dried,perennial,2044,drought,no,,"new_source_identification,water_lifting",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1741,Kavrepalanchowk,Roshi RM,7,Roshi,Parsiltol,27.53750746,85.66979969,Dipsha,spring,public,dense_forest,"Utish,sisnu,banmara",dried,perennial,2068,drought,no,,new_source_identification,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1742,Kavrepalanchowk,Roshi RM,7,Roshi,Parsiltol,27.53955494,85.66981925,Debi khola,pond,private,agriculture,"Banmara,abogado,uniw",active,perennial,,,,,,,,,,,,,,,,120,4,120,4,good,no_change,yes,livestock,1,Janajati,1,Janajati,decreased,no,,,no,,yes,,no,,,,yes,trench-pit,Pokharima machha palan gariyako xa 
1743,Kavrepalanchowk,Roshi RM,2,narayantar,boharatol,27.49085022,85.59593932,niure kholsa muhan,spring,public,dense_forest,"uttish,chilaune,mauwa",active,perennial,,,,,,cemented_tank,flowing,rock,5,30,1000,40,2,2,same,,,,,excellent,improved,yes,"drinking,livestock,agriculture",70,Mixed,40,Mixed,no_change,yes,same,both,no,,yes,,yes,formal,male,treasurer,no,,
1744,Kavrepalanchowk,Roshi RM,2,narayantar,boharatol,27.49057152,85.59554646,niure kholsa chandi narayantar khanepani muhan,spring,public,dense_forest,"uttish,chilaune mauwa",active,perennial,,,,,,cemented_tank,flowing,rock,5,240,1500,40,16,16,same,,,,,excellent,improved,yes,"drinking,livestock,household",30,Mixed,30,Mixed,no_change,yes,same,both,no,,yes,,yes,formal,male,treasurer,no,,
1745,Kavrepalanchowk,Roshi RM,2,narayantar,boharatol,27.49971865,85.59037814,chandhare kholsa dobatotol ko muhan,spring,public,sparse_forest,uttish chilaune mauwa,active,perennial,,,,,,open_kuwa,seepage,rock,1,30,60,20,10,10,same,,,,,good,improved,yes,"drinking,household,livestock",7,BCTS,7,BCTS,no_change,yes,same,both,no,,yes,,no,,,,no,,
1746,Kavrepalanchowk,Roshi RM,4,राेशि,पुरानाे गाँउ,27.47945,85.62338833,रानताईकाे पधेरा,spring,private,grassland,"सल्ला,उतिस,प‌ैङयाे",dried,perennial,2076,Infrastructure Development,no,,new_source_identification,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1747,Kavrepalanchowk,Roshi RM,3,shikharamvot,shikhar,27.50167167,85.61116667,jhap khop,spring,public,dense_forest,grasses,dried,seasonal,2079,natural_disaster,no,,new_source_identification,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1748,Kavrepalanchowk,Roshi RM,3,shikharambote,fetar,27.502865,85.61664,fetar khop,spring,public,grassland,grasses,active,seasonal,,,,,,open_kuwa,flowing,soil/sediment,10,300,200,15,2,10,decreasing,,,,,good,degraded,no,,,,,,no_change,no,,,no,,yes,,no,,,,no,,
1749,Kavrepalanchowk,Roshi RM,3,shikharamvot,shikhar,27.50316833,85.61749,ghantawang khop,spring,public,dense_forest,pepal grasses,dried,perennial,2072,natural_disaster,no,,new_source_identification,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1750,Kavrepalanchowk,Roshi RM,3,shikharambote,fetar,27.503375,85.61653333,bugultar mulpani,spring,public,grassland,grasses,active,seasonal,,,,,,cemented_tank,flowing,interface between rock and sediment,20,300,500,60,5,5,same,,,,,good,no_change,yes,drinking,25,Mixed,25,Mixed,no_change,yes,same,same,no,,yes,,no,,,,no,,
1751,Kavrepalanchowk,Roshi RM,3,shikharamvot,shikhar,27.50354667,85.61654833,bhandare muhan,spring,public,grassland,grasses,active,seasonal,,,,,,cemented_tank,flowing,interface between rock and sediment,20,400,150,15,6,6,same,,,,,good,no_change,yes,drinking,7,janjati,7,janajati,no_change,yes,same,same,no,,yes,,no,,,,no,,
1752,Kavrepalanchowk,Roshi RM,3,shikharambote,fetar,27.50435667,85.61849333,fetar mulpani 2,spring,public,grassland,grasses,active,seasonal,,,,,,tap,flowing,soil/sediment,10,300,0,15,2,10,decreasing,,,,,good,degraded,no,,,,,,no_change,no,,,no,,yes,,no,,,,no,,
1753,Kavrepalanchowk,Roshi RM,3,shikharambote,fetar,27.50455667,85.6185,bhimsinthan,spring,public,grassland,grasses,active,seasonal,,,,,,tap,flowing,soil/sediment,10,300,150,15,5,10,decreasing,,,,,good,degraded,no,,,,,,no_change,no,,,no,,yes,,no,,,,no,,
1754,Kavrepalanchowk,Roshi RM,3,shikharambote,mamsang,27.505535,85.61789,gundurng kuwa1,spring,public,grassland,grasses,active,seasonal,,,,,,tap,flowing,soil/sediment,10,500,200,20,5,16,decreasing,,,,,good,degraded,no,,,,,,no_change,no,,,no,,yes,,no,,,,no,,
1755,Kavrepalanchowk,Roshi RM,3,shikharambote,mamsang,27.50550667,85.61797667,ghundurng kuwa2,spring,public,grassland,grasses,active,seasonal,,,,,,tap,flowing,rock,10,300,200,20,3,10,decreasing,,,,,good,degraded,no,,,,,,no_change,no,,,no,,yes,,no,,,,no,,
1756,Kavrepalanchowk,Roshi RM,3,shikharanbote,mamsang,27.50614167,85.61866667,panighat,spring,public,grassland,grassesq,active,seasonal,,,,,,tap,flowing,rock,10,400,250,25,5,14,decreasing,,,,,good,degraded,no,,,,,,no_change,no,,,no,,yes,,no,,,,no,,
1757,Kavrepalanchowk,Roshi RM,3,shikharambote,panighat,27.507145,85.618925,bhujat,spring,public,grassland,grasses,active,seasonal,,,,,,tap,flowing,rock,20,300,250,25,4,5,decreasing,,,,,good,degraded,no,,,,,,no_change,no,,,no,,yes,,no,,,,no,,
1758,Kavrepalanchowk,Roshi RM,3,shikharambote,panighat,27.50707167,85.61901667,bhujat2,spring,public,grassland,grasses,active,seasonal,,,,,,tap,flowing,rock,10,300,200,20,5,10,decreasing,,,,,good,degraded,no,,,,,,no_change,no,,,no,,yes,,no,,,,no,,
1759,Kavrepalanchowk,Roshi RM,3,shikharambote,panighat,27.507495,85.61914833,devithan kuwa,spring,public,grassland,grasses,active,seasonal,,,,,,tap,flowing,rock,10,400,200,20,5,14,decreasing,,,,,good,degraded,no,,,,,,no_change,no,,,no,,yes,,no,,,,no,,
1760,Kavrepalanchowk,Roshi RM,3,shikharambote,panighat,27.50770333,85.619175,devithan kuwa2,spring,public,grassland,grasses,dried,seasonal,2075,natural_disaster,no,,new_source_identification,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1761,Kavrepalanchowk,Roshi RM,3,shikharambote,maghutar,27.50970833,85.61939167,maghutar mulpani,spring,public,grassland,grasses,active,seasonal,,,,,,tap,flowing,rock,10,400,250,20,5,14,decreasing,,,,,good,degraded,no,,,,,,no_change,no,,,no,,yes,,no,,,,no,,
1762,Kavrepalanchowk,Roshi RM,3,shikharambote,maghutar,27.50976833,85.61933667,maghutar 2,spring,public,grassland,grasses,active,seasonal,,,,,,tap,flowing,rock,10,400,200,20,5,14,decreasing,,,,,good,degraded,no,,,,,,no_change,no,,,no,,yes,,no,,,,no,,
1763,Kavrepalanchowk,Roshi RM,3,sbikharambote,padame,27.51517833,85.62381,padame mulpani,spring,public,grassland,grasses,active,seasonal,,,,,,tap,flowing,rock,10,300,200,20,5,14,decreasing,,,,,good,degraded,no,,,,,,no_change,no,,,no,,yes,,no,,,,no,,
1764,Kavrepalanchowk,Roshi RM,3,shikharamboye,quisilva,27.513565,85.61911667,qui silva mulpani,spring,public,grassland,grasses,dried,seasonal,2078,natural_disaster,no,,new_source_identification,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1765,Kavrepalanchowk,Roshi RM,3,shikharambote,aandar ,27.508805,85.612325,kundela mulpabi,spring,public,grassland,grasses,active,seasonal,,,,,,tap,flowing,rock,10,300,300,25,5,10,decreasing,,,,,good,degraded,no,,,,,,no_change,no,,,no,,yes,,no,,,,no,,
1766,Kavrepalanchowk,Roshi RM,2,Roshi,Mahabir jarna,27.49234599,85.58777163,kuwa,spring,community,sparse_forest,"Khas,pat,rukh",active,seasonal,,,,,,open_kuwa,seepage,rock,10,600,3,50,10,10,same,,,,,poor,degraded,yes,drinking,5,Janajati,5,BCTS,no_change,no,,,no,,yes,,no,,,,no,,Ramro huna paryo
1767,Kavrepalanchowk,Roshi RM,2,Roshi,Mahabir jarna,27.49228702,85.58784387,Kuwa,spring,public,grassland,"Khas,pat,rukh",active,seasonal,,,,,,open_kuwa,seepage,rock,5,60,4,50,3,4,decreasing,,,,,poor,degraded,no,,,,,,decreased,no,,,no,,yes,,no,,,,no,,Naya srot pahichan garna paryo
